id,desempeno_previo,cantidad_proyectos,tamano_equipo,horas_extras,antiguedad,horas_capacitacion,ausencias_injustificadas,llegadas_tarde,salidas_tempranas,rendimiento_futuro_predicho
1,10,5,11,16,5,3,6,5,4,9.307129058441557
2,5,4,6,2,0,10,0,12,20,5.126707371794874
3,6,3,11,3,2,3,12,14,8,4.871099160561657
4,4,5,8,15,8,0,5,16,5,6.318441756854254
5,9,6,7,9,10,0,6,11,19,9.414588510101009
6,8,5,10,6,5,10,15,1,14,8.983425992063491
7,9,10,3,4,9,16,5,0,2,9.667379942279945
8,6,6,11,12,4,0,0,9,5,7.539246428571427
9,8,3,5,11,3,3,15,26,20,8.201057341269841
10,5,5,4,4,4,9,8,22,19,6.257541269841271
11,6,4,12,10,7,13,10,28,5,7.751358621933625
12,4,4,7,7,0,14,9,24,13,5.5140012987013005
13,8,4,3,11,2,4,3,15,16,8.679352579365082
14,1,4,1,8,3,0,8,17,14,4.320429761904767
15,3,2,12,18,0,6,8,16,12,4.637440873015873
16,5,3,12,9,4,4,15,24,14,5.10204494949495
17,5,5,9,8,3,12,5,30,5,6.820496626984127
18,6,7,8,6,3,29,4,23,5,8.941651388888884
19,8,4,6,10,8,18,0,21,2,9.526052976190472
20,9,6,6,13,4,14,9,20,18,9.808093344155854
21,3,2,8,12,2,11,12,5,19,4.593993560606062
22,6,3,8,0,3,17,10,2,20,5.19949272533023
23,6,1,5,11,4,6,11,23,18,5.893357305194808
24,8,4,3,7,10,15,12,28,1,9.351719841269842
25,4,1,1,11,2,6,11,7,6,4.773049206349207
26,6,8,7,6,7,14,13,14,8,8.708856042568549
27,5,1,7,7,11,9,11,30,19,5.061022330447333
28,5,7,9,14,3,13,12,25,2,8.541408333333337
29,7,1,1,8,10,17,13,25,1,8.149148809523808
30,6,6,3,2,6,11,2,8,1,7.435753769841267
31,6,4,1,9,5,23,11,29,13,8.620698809523812
32,4,5,13,9,0,0,15,12,13,5.124198575036075
33,5,8,4,12,0,5,4,13,6,8.181059126984124
34,5,3,3,3,0,11,15,7,6,5.002938324175827
35,8,4,7,6,10,16,0,28,7,9.355697008547002
36,5,2,8,13,12,13,4,1,11,6.61114420995671
37,1,7,8,2,6,9,3,6,16,4.9322686507936515
38,1,3,5,10,10,0,7,6,18,4.258091071428572
39,4,3,9,10,2,10,2,2,4,4.9455070679320725
40,5,4,7,11,8,22,9,17,0,8.323159325396825
41,6,1,3,4,4,17,0,9,12,5.956211958874461
42,7,1,8,14,4,12,14,5,16,7.554979635642132
43,5,7,8,14,2,16,9,26,5,8.675721699134199
44,6,4,12,10,0,0,12,30,7,5.916469444444442
45,8,4,8,8,11,11,12,28,0,9.270342658730156
46,5,5,12,10,3,22,5,12,1,8.19091865079365
47,5,3,6,5,0,22,0,14,2,6.412152398989897
48,7,5,7,12,10,14,0,15,10,9.396126602564099
49,8,5,12,13,4,9,1,12,17,9.321600198412696
50,5,1,14,1,0,5,7,15,7,4.210904671717173
51,6,2,7,12,9,8,9,1,6,6.535200396825403
52,5,6,6,15,9,5,9,0,20,8.196924639249637
53,6,5,5,4,9,14,13,27,1,7.672995400432895
54,7,4,1,10,0,15,4,23,2,9.073374801587299
55,6,4,9,1,2,16,5,30,6,6.124268771506272
56,5,1,8,0,9,20,12,25,12,4.700059722222221
57,7,2,11,11,0,12,6,3,13,7.383946969696968
58,5,5,9,16,7,12,9,10,12,7.85296895743146
59,4,5,6,2,1,10,8,28,16,4.946204924242426
60,5,2,6,18,3,13,5,2,16,6.60016226551226
61,5,3,11,7,2,0,5,2,5,4.710002182539683
62,6,5,5,7,6,4,13,24,11,6.884881222943721
63,3,4,10,0,4,9,10,15,0,4.306684523809526
64,9,4,10,3,0,13,12,13,9,8.77280912698413
65,9,2,1,11,3,7,6,25,12,8.484593055555557
66,4,4,9,7,0,17,5,25,13,5.585565981240983
67,6,7,11,2,0,23,3,0,12,8.279765892440892
68,5,3,7,10,0,17,10,29,19,6.4285307720057725
69,4,3,2,5,0,14,5,17,5,5.31676390692641
70,8,1,9,11,0,12,15,15,4,7.60577792207792
71,7,1,4,0,3,8,7,13,10,5.4416375
72,6,1,6,3,0,12,9,18,7,5.12139588744589
73,8,1,12,11,5,4,9,18,18,7.240620833333334
74,7,2,6,2,5,0,1,21,12,5.238267558830057
75,7,3,11,8,9,0,0,30,12,7.138487698412696
76,7,2,10,15,8,14,0,7,3,8.157991269841268
77,5,5,5,8,0,11,9,22,9,6.727863095238096
78,1,4,9,3,2,6,6,4,20,4.214289069264074
79,3,1,6,10,10,7,8,7,20,4.410261507936507
80,10,3,4,0,11,16,10,2,2,9.03079087301587
81,6,6,9,1,2,11,13,8,8,6.6164001984126966
82,7,5,8,3,7,7,9,18,7,7.732011309523806
83,4,4,3,1,0,12,13,27,3,4.657656150793651
84,6,5,6,7,6,0,3,8,13,6.560371897546895
85,6,2,8,5,5,4,7,4,7,5.156279166666668
86,8,2,9,14,5,0,15,12,8,7.471605230880231
87,6,5,3,7,7,0,14,23,20,6.76247983405483
88,4,6,10,15,0,12,4,24,20,7.001653878066375
89,7,6,11,6,10,13,8,23,16,9.162993467643469
90,6,4,7,6,2,0,14,14,11,5.748546031746028
91,3,6,6,12,3,13,8,1,15,6.4848251984126986
92,8,4,9,6,12,21,1,18,4,9.512238690476188
93,5,4,8,12,6,22,4,9,4,8.303037698412698
94,9,1,14,14,11,0,7,12,17,7.808370905483403
